mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel__maxlen,param_kernel__ssk_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
161.42467353343963,4.982213738521502,36.87231342792511,2.374870686429326,3,0.01,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.01}",0.8604169185897815,0.741770467220433,0.7435223956449145,0.7782962947730454,0.6910425938581267,0.8216588633193419,0.7195980552375967,0.8007502493784093,0.7095796853980165,0.8888437939499212,0.7755479317369587,0.06292656677093536,21
162.32586746215821,5.267199513837333,38.88111062049866,3.3778229845369108,3,0.25,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.25}",0.8604169185897815,0.741770467220433,0.7792792792792793,0.8071784185730605,0.6910425938581267,0.8216588633193419,0.7195980552375967,0.8007502493784093,0.7403708152692412,0.8888437939499212,0.7850909454675191,0.05962690595168482,16
163.3532513856888,5.161648387144593,35.63036949634552,2.293534247431571,3,0.5,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.5}",0.9164068641553849,0.8011169435927205,0.7864565764484055,0.8642844065935045,0.7491233607518629,0.8513978991790179,0.7195980552375967,0.8297904733929744,0.8007502493784093,0.8888437939499212,0.8207768622679797,0.058332528546542466,11
159.73868584632874,2.4427706003323304,36.42190413475036,1.8282528229414596,3,0.75,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.75}",0.9164068641553849,0.8591814349674568,0.8479240680775757,0.8926027397260274,0.8071784185730605,0.8302635912424368,0.8358246342016823,0.8007502493784093,0.8304732988464223,0.9161353694475148,0.8536740668615972,0.03972827375527878,8
162.5955096960068,3.189074798208377,35.41232080459595,1.831060455125057,3,1.0,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 1.0}",0.8896396396396397,0.8310045481160808,0.8939499439406562,0.8926027397260274,0.8071784185730605,0.8734751880331743,0.7805914486644167,0.8304732988464223,0.7427422029335209,0.947516302953404,0.8489173731426403,0.05853569350170792,9
212.91608939170837,4.5948174618638635,46.19780118465424,2.000816466144902,4,0.01,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.01}",0.8604169185897815,0.741770467220433,0.7435223956449145,0.7782962947730454,0.6910425938581267,0.8216588633193419,0.7195980552375967,0.8007502493784093,0.7095796853980165,0.8888437939499212,0.7755479317369587,0.06292656677093536,21
204.973619389534,2.101567482626131,44.584358954429625,2.825464361120664,4,0.25,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.25}",0.8604169185897815,0.741770467220433,0.7792792792792793,0.8071784185730605,0.6910425938581267,0.8216588633193419,0.7195980552375967,0.8007502493784093,0.7403708152692412,0.8888437939499212,0.7850909454675191,0.05962690595168482,16
192.07118418216706,6.150131727330787,42.22434349060059,1.765305209532964,4,0.5,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.5}",0.9164068641553849,0.8011169435927205,0.7864565764484055,0.8642844065935045,0.7491233607518629,0.8513978991790179,0.7195980552375967,0.8297904733929744,0.8007502493784093,0.8888437939499212,0.8207768622679797,0.058332528546542466,11
187.81665835380554,2.0325506623079344,42.204369854927066,1.9227491516013675,4,0.75,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.75}",0.9164068641553849,0.8591814349674568,0.8479240680775757,0.8926027397260274,0.7782962947730454,0.8302635912424368,0.8642844065935045,0.8304732988464223,0.9161353694475148,0.8875242266000363,0.8623092294429405,0.04086140007784055,3
186.05734407901764,1.9594113853943216,41.653604125976564,1.6467678024284143,4,1.0,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.0}",0.8896396396396397,0.8604169185897815,0.8939499439406562,0.8926027397260274,0.8353441907249964,0.8734751880331743,0.867800722458798,0.8304732988464223,0.8304732988464223,0.8935790486186151,0.8667754989424534,0.02521247923880905,1
235.9557204246521,3.5280597738670667,53.610768508911136,2.127390783971663,5,0.01,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.01}",0.8604169185897815,0.741770467220433,0.7435223956449145,0.7782962947730454,0.6910425938581267,0.8216588633193419,0.7195980552375967,0.8007502493784093,0.7095796853980165,0.8888437939499212,0.7755479317369587,0.06292656677093536,21
235.7146962404251,3.052238069193255,53.101243710517885,2.3647188832771704,5,0.25,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.25}",0.8604169185897815,0.741770467220433,0.7792792792792793,0.8071784185730605,0.6910425938581267,0.8216588633193419,0.7195980552375967,0.8007502493784093,0.7403708152692412,0.8888437939499212,0.7850909454675191,0.05962690595168482,16
238.8447948694229,2.746451617601066,53.053233408927916,2.3653761503362727,5,0.5,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.5}",0.9164068641553849,0.8011169435927205,0.7864565764484055,0.8642844065935045,0.7491233607518629,0.8513978991790179,0.7195980552375967,0.8297904733929744,0.8007502493784093,0.8888437939499212,0.8207768622679797,0.058332528546542466,11
236.11144938468934,3.976972907621116,53.02483859062195,2.069238182521716,5,0.75,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.75}",0.9164068641553849,0.83027940063203,0.8479240680775757,0.8926027397260274,0.8071784185730605,0.8302635912424368,0.8358246342016823,0.8587582958232979,0.9161353694475148,0.8599627203726672,0.8595336102251678,0.035613459014278634,6
